t,screen,left_node,left_raw_cm,left_filtered_cm,left_rejected,centre_node,centre_raw_cm,centre_filtered_cm,centre_rejected,right_node,right_raw_cm,right_filtered_cm,right_rejected,active_sensor,active_cm,status,held,bad_readings,grid_x,grid_y,raw_grid_x,raw_grid_y,calibrated,alert_cm,max_cm
1772,game,3,,,0,1,,,0,2,,,0,,,ok,1,27,2,1,,,1,10,150
1874,game,3,,,0,1,254.04,,0,2,,,0,,,ok,1,28,2,1,,,1,10,150
1875,game,3,,,0,1,254.04,,0,2,,,0,,,ok,1,28,2,1,,,1,10,150
1888,game,3,,,0,1,254.04,,0,2,,,0,,,ok,1,28,2,1,,,1,10,150
1899,game,3,,,0,1,254.04,,0,2,,,0,,,ok,1,28,2,1,,,1,10,150
1983,game,3,,,0,1,,254.04,0,2,,,0,centre,254.04,ok,1,29,2,1,,,1,10,150
1984,game,3,,,0,1,,254.04,0,2,,,0,centre,254.04,ok,1,29,2,1,,,1,10,150
2004,game,3,,,0,1,,254.04,0,2,,,0,centre,254.04,ok,1,29,2,1,,,1,10,150
2006,game,3,,,0,1,,254.04,0,2,,,0,centre,254.04,ok,1,30,2,1,,,1,10,150
2081,game,3,,,0,1,,254.04,0,2,,,0,centre,254.04,ok,1,31,2,1,,,1,10,150
2090,game,3,,,0,1,221.65,254.04,0,2,,,0,centre,254.04,ok,1,32,2,1,,,1,10,150
2090,game,3,,,0,1,221.65,254.04,0,2,,,0,centre,254.04,ok,1,32,2,1,,,1,10,150
2113,game,3,,,0,1,221.65,254.04,0,2,,,0,centre,254.04,ok,1,32,2,1,,,1,10,150
2183,game,3,,,0,1,221.65,221.65,7,2,,,0,centre,221.65,ok,1,33,2,1,,,1,10,150
2184,game,3,,,0,1,221.65,221.65,7,2,,,0,centre,221.65,ok,1,34,2,1,,,1,10,150
2191,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,35,2,1,,,1,10,150
2281,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,36,2,1,,,1,10,150
2283,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,37,2,1,,,1,10,150
2294,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,38,2,1,,,1,10,150
2295,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,38,2,1,,,1,10,150
2323,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,38,2,1,,,1,10,150
2386,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,39,2,1,,,1,10,150
2388,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,39,2,1,,,1,10,150
2403,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,40,2,1,,,1,10,150
2403,game,3,,,0,1,,221.65,7,2,,,0,centre,221.65,ok,1,40,2,1,,,1,10,150
2488,game,3,,,0,1,187.57,221.65,7,2,,,0,centre,221.65,ok,1,41,2,1,,,1,10,150
2491,game,3,,,0,1,187.57,221.65,7,2,,,0,centre,221.65,ok,1,42,2,1,,,1,10,150
2588,game,3,,,0,1,187.57,187.57,14,2,,,0,centre,187.57,ok,1,43,2,1,,,1,10,150
2590,game,3,,,0,1,187.57,187.57,14,2,,,0,centre,187.57,ok,1,43,2,1,,,1,10,150
2613,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,44,2,1,,,1,10,150
2615,game,3,,,0,1,,187.57,14,2,,,0,centre,187.57,ok,1,45,2,1,,,1,10,150
