t,screen,left_node,left_raw_cm,left_filtered_cm,left_rejected,centre_node,centre_raw_cm,centre_filtered_cm,centre_rejected,right_node,right_raw_cm,right_filtered_cm,right_rejected,active_sensor,active_cm,status,held,bad_readings,grid_x,grid_y,raw_grid_x,raw_grid_y,calibrated,alert_cm,max_cm
56,game,3,,,0,1,,,0,2,,,0,,,no-signal,0,0,,,,,1,10,150
56,game,3,,,0,1,,,0,2,,,0,,,no-signal,0,0,,,,,1,10,150
159,game,3,,,0,1,,,0,2,,,0,,,no-signal,0,1,,,,,1,10,150
160,game,3,,,0,1,,,0,2,,,0,,,no-signal,0,1,,,,,1,10,150
185,game,3,,,0,1,,,0,2,,,0,,,no-signal,0,1,,,,,1,10,150
186,game,3,,,0,1,,,0,2,,,0,,,no-signal,0,1,,,,,1,10,150
187,game,3,,,0,1,,,0,2,103.52,,0,,,no-signal,0,2,,,,,1,10,150
187,game,3,,,0,1,,,0,2,103.52,,0,,,no-signal,0,2,,,,,1,10,150
260,game,3,,,0,1,,,0,2,103.52,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
364,game,3,,,0,1,,,0,2,103.52,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
365,game,3,,,0,1,,,0,2,103.52,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
388,game,3,,,0,1,,,0,2,103.52,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
389,game,3,,,0,1,,,0,2,103.52,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
390,game,3,,,0,1,,,0,2,,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
403,game,3,,,0,1,,,0,2,,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
467,game,3,,,0,1,,,0,2,,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
467,game,3,,,0,1,,,0,2,,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
480,game,3,,,0,1,,,0,2,,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
568,game,3,,,0,1,,,0,2,220.93,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
569,game,3,,,0,1,,,0,2,220.93,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
582,game,3,,,0,1,,,0,2,220.93,103.52,0,right,103.52,ok,0,0,2,2,2,2,1,10,150
596,game,3,,,0,1,,,0,2,220.93,103.52,1,right,103.52,ok,0,0,2,2,2,2,1,10,150
597,game,3,,,0,1,,,0,2,,103.52,2,right,103.52,ok,0,0,2,2,2,2,1,10,150
672,game,3,,,0,1,,,0,2,,103.52,2,right,103.52,ok,0,0,2,2,2,2,1,10,150
673,game,3,,,0,1,,,0,2,,103.52,2,right,103.52,ok,0,0,2,2,2,2,1,10,150
775,game,3,,,0,1,51.95,,0,2,,,2,,,ok,1,0,2,2,,,1,10,150
776,game,3,,,0,1,51.95,,0,2,,,2,,,ok,1,0,2,2,,,1,10,150
786,game,3,,,0,1,51.95,,0,2,,,2,,,ok,1,0,2,2,,,1,10,150
799,game,3,,,0,1,51.95,,0,2,,,2,,,ok,1,0,2,2,,,1,10,150
880,game,3,,,0,1,60.08,51.95,0,2,,,2,centre,51.95,ok,0,0,2,2,1,0,1,10,150
881,game,3,,,0,1,60.08,51.95,0,2,,,2,centre,51.95,ok,0,0,2,2,1,0,1,10,150
894,game,3,,,0,1,60.08,51.95,0,2,,,2,centre,51.95,ok,0,0,2,2,1,0,1,10,150
907,game,3,,,0,1,60.08,51.95,0,2,,,2,centre,51.95,ok,0,0,2,2,1,0,1,10,150
984,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
985,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
1009,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
1009,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
1009,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
1021,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
1080,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
1092,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
1097,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
1190,game,3,,,0,1,,60.08,0,2,,,2,centre,60.08,ok,0,0,2,2,1,1,1,10,150
