t,screen,left_node,left_raw_cm,left_filtered_cm,left_rejected,centre_node,centre_raw_cm,centre_filtered_cm,centre_rejected,right_node,right_raw_cm,right_filtered_cm,right_rejected,active_sensor,active_cm,status,held,bad_readings,grid_x,grid_y,raw_grid_x,raw_grid_y,calibrated,alert_cm,max_cm
64,game,3,,,0,1,30.63,31.47,0,2,,,0,centre,31.47,ok,0,0,1,0,1,0,1,10,150
64,game,3,,,0,1,30.63,31.47,0,2,,,0,centre,31.47,ok,0,0,1,0,1,0,1,10,150
78,game,3,,,0,1,30.63,31.47,0,2,,,0,centre,31.47,ok,0,0,1,0,1,0,1,10,150
79,game,3,,,0,1,30.63,31.47,0,2,,,0,centre,31.47,ok,0,0,1,0,1,0,1,10,150
79,game,3,,,0,1,30.63,31.47,0,2,,,0,centre,31.47,ok,0,0,1,0,1,0,1,10,150
98,game,3,,,0,1,30.63,31.47,0,2,,,0,centre,31.47,ok,0,0,1,0,1,0,1,10,150
166,game,3,,,0,1,30.2,30.63,0,2,,,0,centre,30.63,ok,0,0,1,0,1,0,1,10,150
167,game,3,,,0,1,30.2,30.63,0,2,,,0,centre,30.63,ok,0,0,1,0,1,0,1,10,150
179,game,3,,,0,1,30.2,30.63,0,2,,,0,centre,30.63,ok,0,0,1,0,1,0,1,10,150
179,game,3,,,0,1,30.2,30.63,0,2,,,0,centre,30.63,ok,0,0,1,0,1,0,1,10,150
268,game,3,,,0,1,30.17,30.2,0,2,,,0,centre,30.2,ok,0,0,1,0,1,0,1,10,150
268,game,3,,,0,1,30.17,30.2,0,2,,,0,centre,30.2,ok,0,0,1,0,1,0,1,10,150
282,game,3,,,0,1,30.17,30.2,0,2,,,0,centre,30.2,ok,0,0,1,0,1,0,1,10,150
283,game,3,,,0,1,30.17,30.2,0,2,,,0,centre,30.2,ok,0,0,1,0,1,0,1,10,150
297,game,3,,,0,1,30.17,30.2,0,2,50.8,,0,centre,30.2,ok,0,0,1,0,1,0,1,10,150
297,game,3,,,0,1,30.17,30.2,0,2,50.8,,0,centre,30.2,ok,0,0,1,0,1,0,1,10,150
372,game,3,,,0,1,30.17,30.17,0,2,,50.8,0,centre,30.17,ok,0,0,1,0,1,0,1,10,150
372,game,3,,,0,1,30.17,30.17,0,2,,50.8,0,centre,30.17,ok,0,0,1,0,1,0,1,10,150
383,game,3,,,0,1,30.54,30.17,0,2,,50.8,0,centre,30.17,ok,0,0,1,0,1,0,1,10,150
384,game,3,,,0,1,30.54,30.17,0,2,,50.8,0,centre,30.17,ok,0,0,1,0,1,0,1,10,150
476,game,3,,,0,1,30.54,30.54,0,2,,50.8,0,centre,30.54,ok,0,0,1,0,1,0,1,10,150
577,game,3,,,0,1,30.54,30.54,0,2,,50.8,0,centre,30.54,ok,0,0,1,0,1,0,1,10,150
580,game,3,,,0,1,30.54,30.54,0,2,,50.8,0,centre,30.54,ok,0,0,1,0,1,0,1,10,150
580,game,3,,,0,1,30.54,30.54,0,2,,50.8,0,centre,30.54,ok,0,0,1,0,1,0,1,10,150
594,game,3,,,0,1,30.54,30.54,0,2,,50.8,0,centre,30.54,ok,0,0,1,0,1,0,1,10,150
595,game,3,,,0,1,30.54,30.54,0,2,86.4,50.8,0,centre,30.54,ok,0,0,1,0,1,0,1,10,150
596,game,3,194.57,,0,1,30.54,30.54,0,2,86.4,50.8,0,centre,30.54,ok,0,0,1,0,1,0,1,10,150
604,game,3,194.57,194.57,0,1,30.96,30.54,0,2,86.4,50.8,2,centre,30.54,ok,0,0,1,0,1,0,1,10,150
605,game,3,194.57,194.57,0,1,30.96,30.54,0,2,86.4,50.8,2,centre,30.54,ok,0,0,1,0,1,0,1,10,150
687,game,3,,194.57,0,1,30.13,30.96,0,2,86.4,86.4,7,centre,30.96,ok,0,0,1,0,1,0,1,10,150
688,game,3,,194.57,0,1,30.13,30.96,0,2,86.4,86.4,7,centre,30.96,ok,0,0,1,0,1,0,1,10,150
706,game,3,,194.57,0,1,30.13,30.96,0,2,86.4,86.4,7,centre,30.96,ok,0,0,1,0,1,0,1,10,150
780,game,3,,194.57,0,1,30.13,30.13,0,2,,86.4,7,centre,30.13,ok,0,0,1,0,1,0,1,10,150
781,game,3,,194.57,0,1,30.13,30.13,0,2,,86.4,7,centre,30.13,ok,0,0,1,0,1,0,1,10,150
